City/Town,Ward,Pct,"Clinton/ Kaine","Trump/ Pence","Johnson/ Weld","Stein/ Baraka","Mcmullin/ Johnson","Kotlikoff/ Leamer","Feegbeh/ O'Brien","Moorehead/ Lilly","Schoenke/ Mitchel","All Others","No Preference","Blank Votes","Total Votes Cast"
Foxborough,-,5,932,798,121,24,7,0,0,0,0,21,0,44,"1,947"
Framingham,-,1,"1,551",631,89,31,0,0,0,0,0,36,0,22,"2,360"
Framingham,-,2,"1,702",686,113,28,0,0,0,0,0,46,0,30,"2,605"
Framingham,-,3,"1,354",474,70,16,0,0,0,0,0,26,0,21,"1,961"
Framingham,-,4,"1,527",580,96,25,0,0,0,0,0,51,0,40,"2,319"
Framingham,-,5,"1,426",591,110,30,0,0,0,0,0,42,0,26,"2,225"
Framingham,-,6,"1,418",620,108,25,0,0,0,0,0,57,0,25,"2,253"
Framingham,-,7,"1,324",489,79,22,0,0,0,0,0,44,0,11,"1,969"
Framingham,-,8,"1,406",421,75,23,0,0,0,0,0,32,0,23,"1,980"
Framingham,-,9,"1,033",318,62,17,0,0,0,0,0,22,0,13,"1,465"
Framingham,-,10,860,253,59,13,0,0,0,0,0,15,0,14,"1,214"
Framingham,-,11,"1,547",607,103,21,0,0,0,0,0,64,0,32,"2,374"
Framingham,-,12,798,265,34,13,0,0,0,0,0,19,0,12,"1,141"
Framingham,-,13,"1,033",327,43,21,0,0,0,0,0,31,0,13,"1,468"
Framingham,-,14,810,182,33,16,0,0,0,0,0,27,0,10,"1,078"
Framingham,-,15,830,215,55,18,0,0,0,0,0,26,0,12,"1,156"
Framingham,-,16,533,113,19,1,0,0,0,0,0,14,0,8,688
Framingham,-,17,633,58,13,8,0,0,0,0,0,9,0,5,726
Framingham,-,18,735,233,35,19,0,0,0,0,0,18,0,6,"1,046"
Franklin,-,1,"1,132",843,109,21,0,0,0,0,0,54,0,34,"2,193"
Franklin,-,2,"1,130",846,112,19,0,0,0,0,0,52,0,24,"2,183"
Franklin,-,3,"1,127",844,108,20,0,0,0,0,0,57,0,31,"2,187"
