neighborhood,Allston,Back Bay,Beacon Hill,Brighton,Charlestown,Dorchester,Downtown,East Boston,Fenway,Hyde Park,Jamaica Plain,Longwood,Mattapan,Mission Hill,North End,Roslindale,Roxbury,South Boston,South Boston Waterfront,South End,West End,Harbor Islands,West Roxbury
Jamaica Plain,1.679266177922978,1.6830250616264495,2.99057985859818,3.044574831949768,3.4860547760722986,3.2354283979288683,3.349173501148063,5.76710086660091,1.4613764388503856,1.738221652486879,0.0,0.4954039408885987,1.6221432245582703,0.3214349503342058,13.628735120435598,1.6581416827124758,1.7885411403097429,4.211390709029757,4.752814567894481,2.5732903613691147,10.910550100671324,23.06233747796801,3.349173501148063
Longwood,1.531405764204548,1.5677985864144057,2.896938137754675,2.977666124773166,3.3629918287164737,3.3226227444314036,3.503458206630377,5.6818720451576,1.3634444458883992,2.1678070914916496,0.4954039408885978,0.0,2.0219778316318657,0.17748140201569912,14.115230579790444,1.9374608233449018,1.8158005415924132,4.201201563797234,4.7190129886580365,2.5337819703790245,10.855837999401079,22.829801290330998,3.503458206630377
Mattapan,3.233546098061658,1.9141477817539276,2.720584428332713,4.4541485645128285,3.2276612689434026,2.3308304361492156,4.332046130203688,5.1861321946107255,1.774841669005228,2.042884667256213,1.6221432245582965,2.021977831631942,0.0,1.859433796589822,12.698196941479992,2.577278963688512,1.5473134051580566,3.4979640873697044,4.0692512623798525,2.226381946873121,12.176530037523383,22.765403017125646,4.332046130203688
Mission Hill,1.5948060806366422,1.5642328904480016,2.8929324111587853,3.020238991169846,3.37126544235081,3.2558059881270522,3.4682296172867955,5.679340191361245,1.350719222215077,2.026124015441713,0.3214349503342195,0.17748140201570356,1.8594337965898364,0.0,13.948432054254935,1.8510546433811235,1.7624675269094918,4.169858246505759,4.696829161084856,2.508556399253658,10.900761415338488,22.886092146627604,3.4682296172867955
North End,14.144867596454002,14.611495307056286,15.207921704894284,14.033700447711622,15.639778864312994,14.291741580303784,12.571210057337657,16.77723747881904,14.460670756807495,12.0430573490233,13.62873512043563,14.115230579790436,12.698196941479964,13.948432054254962,0.0,12.661031418507903,14.221417250788068,15.310238479014078,15.757890640673802,14.754821573395663,16.938957854062288,33.44320569989075,12.571210057337657
Roslindale,1.4933979590784674,3.337057041932539,4.625689289796117,2.0677647530337198,5.129891670789585,4.70952428743212,1.7775653386099404,7.3802230100019575,3.11470820570864,0.8473914824407112,1.658141682712503,1.9374608233450357,2.5772789636884617,1.8510546433809782,12.661031418507903,0.0,3.379093681702772,5.774514056203806,6.331766820609722,4.1849834236113805,9.602279377019997,24.72023021613486,1.7775653386099404
Roxbury,3.3465249539756408,0.5254858399820489,1.2788983022254727,4.782607624457808,1.7975774760910268,1.5136939874306596,5.122044889751295,4.00112941492204,0.5647669252481236,3.176365765145511,1.788541140309812,1.8158005415925418,1.5473134051580733,1.762467526909624,14.221417250788106,3.379093681702724,0.0,2.4228708782865724,2.9662620265880673,0.8097829211673311,12.663199300434437,21.43771402704607,5.122044889751295
South Boston,5.725403323118446,2.6518132021657803,1.3989543257414085,7.178670649491109,1.1727625692888417,1.1831443575604712,7.5343436627795315,1.6936197948945382,2.8415688887285273,5.461216640908409,4.211390709029707,4.201201563797169,3.4979640873698505,4.169858246505901,15.310238479014041,5.774514056203729,2.422870878286573,0.0,0.5715797083586238,1.668825010874632,15.053308403946259,19.290792302338527,7.5343436627795315
South Boston Waterfront,6.2341793346786085,3.1565178848906483,1.8527172959198595,7.692283027449069,1.5053819634789412,1.7492462596855933,8.086209387072854,1.129551299787001,3.355617194383502,6.0304722062842275,4.752814567894452,4.719012988657922,4.069251262380032,4.696829161084782,15.757890640673887,6.331766820609713,2.9662620265881134,0.571579708358563,0.0,2.1882759168618,15.557069137015361,18.72674906001081,8.086209387072854
South End,4.05658138920041,0.9865680532567207,0.4948707607175132,5.510559772100633,1.0096687736763654,1.038810620521569,5.918812270660062,3.1973548113643093,1.1727553408713107,3.9795935036483434,2.5732903613691245,2.533781970378922,2.226381946873189,2.5085563992536795,14.754821573395597,4.18498342361143,0.8097829211674676,1.668825010874405,2.1882759168619668,0.0,13.384497815168183,20.637190613833393,5.918812270660062
West End,9.328046694576967,12.40358036478442,13.709463241868772,7.880627123923928,14.126678641821442,14.144759005444595,7.899305509170781,16.449104044933122,12.21180905684621,10.265749810332073,10.910550100671237,10.855837999400856,12.176530037523255,10.900761415338444,16.938957854062313,9.602279377019954,12.663199300434488,15.05330840394606,15.557069137015324,13.384497815168253,0.0,32.513729317576846,7.899305509170781
Harbor Islands,24.083485397339405,21.391752963435017,20.158844407458126,25.44019680007801,19.64074840975837,20.47389622275065,26.319748394790853,17.59789407358492,21.613969314254295,24.614031751143678,23.062337477968107,22.829801290330966,22.765403017125575,22.88609214662771,33.44320569989073,24.720230216134873,21.437714027046113,19.290792302338577,18.726749060010892,20.637190613833454,32.513729317577074,0.0,26.319748394790853
West Roxbury,2.3229390258630676,5.022177203581231,6.339256315850401,1.4989946104166552,6.830629267390971,6.484548580050551,0.0,9.115204806151985,4.803017623975257,2.3669461217429832,3.3491735011478516,3.503458206630344,4.332046130203672,3.4682296172866405,12.571210057337655,1.777565338610048,5.122044889751223,7.534343662779396,8.086209387072916,5.91881227066001,7.899305509170777,26.31974839479094,0.0
